fips,month,cases,county
45001,Apr,14.333333333333334,Abbeville
45001,Aug,357.48387096774195,Abbeville
45001,Dec,1131.741935483871,Abbeville
45001,Jul,192.2258064516129,Abbeville
45001,Jun,72.9,Abbeville
45001,Mar,2.4615384615384617,Abbeville
45001,May,34.83870967741935,Abbeville
45001,Nov,876.8333333333334,Abbeville
45001,Oct,703.4193548387096,Abbeville
45001,Sep,509.53333333333336,Abbeville
22001,Apr,102.2,Acadia
22001,Aug,2659.3548387096776,Acadia
22001,Dec,4573.580645161291,Acadia
22001,Jul,1596.258064516129,Acadia
22001,Jun,611.4,Acadia
22001,Mar,8.5,Acadia
22001,May,233.19354838709677,Acadia
22001,Nov,3570.0666666666666,Acadia
22001,Oct,3060.4193548387098,Acadia
22001,Sep,2896.4666666666667,Acadia
51001,Apr,62.666666666666664,Accomack
51001,Aug,1115.8064516129032,Accomack
51001,Dec,1523.0645161290322,Accomack
51001,Jul,1051.5806451612902,Accomack
51001,Jun,1001.6,Accomack
51001,Mar,2.3333333333333335,Accomack
51001,May,616.4193548387096,Accomack
51001,Nov,1271.8333333333333,Accomack
51001,Oct,1198.2903225806451,Accomack
51001,Sep,1162.2333333333333,Accomack
16001,Apr,539.2333333333333,Ada
16001,Aug,9779.032258064517,Ada
16001,Dec,32502.290322580644,Ada
16001,Jul,5091.258064516129,Ada
16001,Jun,1153.2666666666667,Ada
16001,Mar,41.8421052631579,Ada
16001,May,762.2258064516129,Ada
16001,Nov,21592.0,Ada
16001,Oct,15010.129032258064,Ada
16001,Sep,12127.466666666667,Ada
19001,Apr,1.0,Adair
21001,Apr,46.53846153846154,Adair
29001,Apr,10.9,Adair
40001,Apr,35.8,Adair
19001,Aug,36.645161290322584,Adair
21001,Aug,241.58064516129033,Adair
29001,Aug,183.03225806451613,Adair
40001,Aug,372.64516129032256,Adair
19001,Dec,526.2903225806451,Adair
21001,Dec,1175.741935483871,Adair
29001,Dec,1484.3225806451612,Adair
40001,Dec,1547.6451612903227,Adair
19001,Jul,18.193548387096776,Adair
21001,Jul,166.19354838709677,Adair
29001,Jul,110.74193548387096,Adair
40001,Jul,175.19354838709677,Adair
19001,Jun,11.433333333333334,Adair
21001,Jun,104.66666666666667,Adair
29001,Jun,78.83333333333333,Adair
40001,Jun,100.46666666666667,Adair
19001,Mar,1.0,Adair
29001,Mar,2.0,Adair
40001,Mar,3.142857142857143,Adair
19001,May,4.838709677419355,Adair
21001,May,90.29032258064517,Adair
29001,May,26.451612903225808,Adair
40001,May,75.48387096774194,Adair
19001,Nov,345.6,Adair
21001,Nov,787.7666666666667,Adair
29001,Nov,921.2333333333333,Adair
40001,Nov,1047.3,Adair
19001,Oct,126.35483870967742,Adair
21001,Oct,446.03225806451616,Adair
29001,Oct,468.64516129032256,Adair
40001,Oct,724.483870967742,Adair
19001,Sep,60.2,Adair
21001,Sep,298.06666666666666,Adair
29001,Sep,310.1666666666667,Adair
40001,Sep,549.6666666666666,Adair
08001,Apr,813.3333333333334,Adams
16003,Apr,1.7333333333333334,Adams
17001,Apr,23.433333333333334,Adams
18001,Apr,4.966666666666667,Adams
