fips,month,cases,county,year
45001,Apr 2020,14.333333333333334,Abbeville,2020
45001,Apr 2021,2507.7,Abbeville,2021
45001,Aug 2020,357.48387096774195,Abbeville,2020
45001,Aug 2021,2779.9032258064517,Abbeville,2021
45001,Dec 2020,1131.741935483871,Abbeville,2020
45001,Feb 2021,2079.785714285714,Abbeville,2021
45001,Jan 2021,1512.6129032258063,Abbeville,2021
45001,Jul 2020,192.2258064516129,Abbeville,2020
45001,Jul 2021,2607.6129032258063,Abbeville,2021
45001,Jun 2020,72.9,Abbeville,2020
45001,Jun 2021,2598.6666666666665,Abbeville,2021
45001,Mar 2020,2.4615384615384617,Abbeville,2020
45001,Mar 2021,2336.3548387096776,Abbeville,2021
45001,May 2020,34.83870967741935,Abbeville,2020
45001,May 2021,2578.6774193548385,Abbeville,2021
45001,Nov 2020,876.8333333333334,Abbeville,2020
45001,Oct 2020,703.4193548387096,Abbeville,2020
45001,Oct 2021,3704.8888888888887,Abbeville,2021
45001,Sep 2020,509.53333333333336,Abbeville,2020
45001,Sep 2021,3337.733333333333,Abbeville,2021
22001,Apr 2020,102.2,Acadia,2020
22001,Apr 2021,6373.4,Acadia,2021
22001,Aug 2020,2659.3548387096776,Acadia,2020
22001,Aug 2021,8521.129032258064,Acadia,2021
22001,Dec 2020,4573.580645161291,Acadia,2020
22001,Feb 2021,5970.25,Acadia,2021
22001,Jan 2021,5511.645161290323,Acadia,2021
22001,Jul 2020,1596.258064516129,Acadia,2020
22001,Jul 2021,7001.387096774193,Acadia,2021
22001,Jun 2020,611.4,Acadia,2020
22001,Jun 2021,6747.0,Acadia,2021
22001,Mar 2020,8.5,Acadia,2020
22001,Mar 2021,6189.8387096774195,Acadia,2021
22001,May 2020,233.19354838709677,Acadia,2020
22001,May 2021,6565.741935483871,Acadia,2021
22001,Nov 2020,3570.0666666666666,Acadia,2020
22001,Oct 2020,3060.4193548387098,Acadia,2020
22001,Oct 2021,10327.944444444445,Acadia,2021
22001,Sep 2020,2896.4666666666667,Acadia,2020
22001,Sep 2021,9955.133333333333,Acadia,2021
51001,Apr 2020,62.666666666666664,Accomack,2020
51001,Apr 2021,2759.3333333333335,Accomack,2021
51001,Aug 2020,1115.8064516129032,Accomack,2020
51001,Aug 2021,3104.3225806451615,Accomack,2021
51001,Dec 2020,1523.0645161290322,Accomack,2020
51001,Feb 2021,2505.6428571428573,Accomack,2021
51001,Jan 2021,2079.935483870968,Accomack,2021
51001,Jul 2020,1051.5806451612902,Accomack,2020
51001,Jul 2021,2885.6774193548385,Accomack,2021
51001,Jun 2020,1001.6,Accomack,2020
51001,Jun 2021,2866.5666666666666,Accomack,2021
51001,Mar 2020,2.3333333333333335,Accomack,2020
51001,Mar 2021,2657.1935483870966,Accomack,2021
51001,May 2020,616.4193548387096,Accomack,2020
51001,May 2021,2835.935483870968,Accomack,2021
51001,Nov 2020,1271.8333333333333,Accomack,2020
51001,Oct 2020,1198.2903225806451,Accomack,2020
51001,Oct 2021,3898.722222222222,Accomack,2021
51001,Sep 2020,1162.2333333333333,Accomack,2020
51001,Sep 2021,3551.3,Accomack,2021
16001,Apr 2020,539.2333333333333,Ada,2020
16001,Apr 2021,50483.7,Ada,2021
16001,Aug 2020,9779.032258064517,Ada,2020
16001,Aug 2021,58051.16129032258,Ada,2021
16001,Dec 2020,32502.290322580644,Ada,2020
16001,Feb 2021,45788.57142857143,Ada,2021
16001,Jan 2021,41924.22580645161,Ada,2021
16001,Jul 2020,5091.258064516129,Ada,2020
16001,Jul 2021,54281.45161290323,Ada,2021
16001,Jun 2020,1153.2666666666667,Ada,2020
16001,Jun 2021,53269.76666666667,Ada,2021
16001,Mar 2020,41.8421052631579,Ada,2020
16001,Mar 2021,48018.67741935484,Ada,2021
16001,May 2020,762.2258064516129,Ada,2020
16001,May 2021,52283.77419354839,Ada,2021
16001,Nov 2020,21592.0,Ada,2020
16001,Oct 2020,15010.129032258064,Ada,2020
16001,Oct 2021,74876.61111111111,Ada,2021
16001,Sep 2020,12127.466666666667,Ada,2020
16001,Sep 2021,65486.4,Ada,2021
19001,Apr 2020,1.0,Adair,2020
21001,Apr 2020,46.53846153846154,Adair,2020
29001,Apr 2020,10.9,Adair,2020
40001,Apr 2020,35.8,Adair,2020
19001,Apr 2021,844.9,Adair,2021
21001,Apr 2021,1812.8,Adair,2021
29001,Apr 2021,2417.3,Adair,2021
40001,Apr 2021,3158.9666666666667,Adair,2021
19001,Aug 2020,36.645161290322584,Adair,2020
21001,Aug 2020,241.58064516129033,Adair,2020
29001,Aug 2020,183.03225806451613,Adair,2020
40001,Aug 2020,372.64516129032256,Adair,2020
19001,Aug 2021,911.6129032258065,Adair,2021
21001,Aug 2021,2264.2258064516127,Adair,2021
29001,Aug 2021,2975.8387096774195,Adair,2021
40001,Aug 2021,3821.8387096774195,Adair,2021
19001,Dec 2020,526.2903225806451,Adair,2020
21001,Dec 2020,1175.741935483871,Adair,2020
29001,Dec 2020,1484.3225806451612,Adair,2020
40001,Dec 2020,1547.6451612903227,Adair,2020
19001,Feb 2021,761.75,Adair,2021
21001,Feb 2021,1611.607142857143,Adair,2021
29001,Feb 2021,2252.6428571428573,Adair,2021
40001,Feb 2021,3019.3214285714284,Adair,2021
19001,Jan 2021,671.1935483870968,Adair,2021
21001,Jan 2021,1432.5806451612902,Adair,2021
29001,Jan 2021,1959.2903225806451,Adair,2021
40001,Jan 2021,2414.451612903226,Adair,2021
19001,Jul 2020,18.193548387096776,Adair,2020
21001,Jul 2020,166.19354838709677,Adair,2020
29001,Jul 2020,110.74193548387096,Adair,2020
40001,Jul 2020,175.19354838709677,Adair,2020
19001,Jul 2021,887.5806451612904,Adair,2021
21001,Jul 2021,1992.8064516129032,Adair,2021
29001,Jul 2021,2637.9032258064517,Adair,2021
40001,Jul 2021,3310.967741935484,Adair,2021
19001,Jun 2020,11.433333333333334,Adair,2020
21001,Jun 2020,104.66666666666667,Adair,2020
29001,Jun 2020,78.83333333333333,Adair,2020
40001,Jun 2020,100.46666666666667,Adair,2020
19001,Jun 2021,873.7666666666667,Adair,2021
21001,Jun 2021,1953.7,Adair,2021
29001,Jun 2021,2494.766666666667,Adair,2021
40001,Jun 2021,3200.9333333333334,Adair,2021
19001,Mar 2020,1.0,Adair,2020
29001,Mar 2020,2.0,Adair,2020
40001,Mar 2020,3.142857142857143,Adair,2020
19001,Mar 2021,825.7741935483871,Adair,2021
21001,Mar 2021,1735.8064516129032,Adair,2021
29001,Mar 2021,2357.5806451612902,Adair,2021
40001,Mar 2021,3136.7419354838707,Adair,2021
19001,May 2020,4.838709677419355,Adair,2020
21001,May 2020,90.29032258064517,Adair,2020
29001,May 2020,26.451612903225808,Adair,2020
40001,May 2020,75.48387096774194,Adair,2020
19001,May 2021,866.2258064516129,Adair,2021
21001,May 2021,1898.3548387096773,Adair,2021
29001,May 2021,2467.064516129032,Adair,2021
40001,May 2021,3180.2580645161293,Adair,2021
19001,Nov 2020,345.6,Adair,2020
21001,Nov 2020,787.7666666666667,Adair,2020
29001,Nov 2020,921.2333333333333,Adair,2020
40001,Nov 2020,1047.3,Adair,2020
19001,Oct 2020,126.35483870967742,Adair,2020
21001,Oct 2020,446.03225806451616,Adair,2020
29001,Oct 2020,468.64516129032256,Adair,2020
40001,Oct 2020,724.483870967742,Adair,2020
19001,Oct 2021,1013.7777777777778,Adair,2021
21001,Oct 2021,3290.9444444444443,Adair,2021
29001,Oct 2021,3547.6111111111113,Adair,2021
40001,Oct 2021,4779.666666666667,Adair,2021
19001,Sep 2020,60.2,Adair,2020
21001,Sep 2020,298.06666666666666,Adair,2020
29001,Sep 2020,310.1666666666667,Adair,2020
40001,Sep 2020,549.6666666666666,Adair,2020
19001,Sep 2021,951.9666666666667,Adair,2021
21001,Sep 2021,2866.4,Adair,2021
29001,Sep 2021,3381.4666666666667,Adair,2021
40001,Sep 2021,4536.5,Adair,2021
08001,Apr 2020,813.3333333333334,Adams,2020
16003,Apr 2020,1.7333333333333334,Adams,2020
17001,Apr 2020,23.433333333333334,Adams,2020
18001,Apr 2020,4.966666666666667,Adams,2020
28001,Apr 2020,66.26666666666667,Adams,2020
31001,Apr 2020,72.83333333333333,Adams,2020
39001,Apr 2020,3.1481481481481484,Adams,2020
42001,Apr 2020,68.03333333333333,Adams,2020
53001,Apr 2020,36.666666666666664,Adams,2020
55001,Apr 2020,2.9655172413793105,Adams,2020
08001,Apr 2021,54606.4,Adams,2021
16003,Apr 2021,336.73333333333335,Adams,2021
17001,Apr 2021,8184.666666666667,Adams,2021
