,county,fips,month,cases
0,Abbeville,45001,Apr,430
1,Abbeville,45001,Aug,11082
2,Abbeville,45001,Dec,35084
3,Abbeville,45001,Jul,5959
4,Abbeville,45001,Jun,2187
5,Abbeville,45001,Mar,32
6,Abbeville,45001,May,1080
7,Abbeville,45001,Nov,26305
8,Abbeville,45001,Oct,21806
9,Abbeville,45001,Sep,15286
10,Acadia,22001,Apr,3066
11,Acadia,22001,Aug,82440
12,Acadia,22001,Dec,141781
13,Acadia,22001,Jul,49484
14,Acadia,22001,Jun,18342
15,Acadia,22001,Mar,85
16,Acadia,22001,May,7229
17,Acadia,22001,Nov,107102
18,Acadia,22001,Oct,94873
19,Acadia,22001,Sep,86894
20,Accomack,51001,Apr,1880
21,Accomack,51001,Aug,34590
22,Accomack,51001,Dec,47215
23,Accomack,51001,Jul,32599
24,Accomack,51001,Jun,30048
25,Accomack,51001,Mar,28
26,Accomack,51001,May,19109
27,Accomack,51001,Nov,38155
28,Accomack,51001,Oct,37147
29,Accomack,51001,Sep,34867
30,Ada,16001,Apr,16177
31,Ada,16001,Aug,303150
32,Ada,16001,Dec,1007571
33,Ada,16001,Jul,157829
34,Ada,16001,Jun,34598
35,Ada,16001,Mar,795
36,Ada,16001,May,23629
37,Ada,16001,Nov,647760
38,Ada,16001,Oct,465314
39,Ada,16001,Sep,363824
40,Adair,19001,Apr,30
41,Adair,19001,Aug,1136
42,Adair,19001,Dec,16315
43,Adair,19001,Jul,564
44,Adair,19001,Jun,343
45,Adair,19001,Mar,15
46,Adair,19001,May,150
47,Adair,19001,Nov,10368
48,Adair,19001,Oct,3917
49,Adair,19001,Sep,1806
50,Adair,21001,Apr,1210
51,Adair,21001,Aug,7489
52,Adair,21001,Dec,36448
53,Adair,21001,Jul,5152
54,Adair,21001,Jun,3140
55,Adair,21001,May,2799
56,Adair,21001,Nov,23633
57,Adair,21001,Oct,13827
58,Adair,21001,Sep,8942
59,Adair,29001,Apr,327
60,Adair,29001,Aug,5674
